site_no,site_lat,site_lon,granule_time,granule_urls,result,result_unit,result_time
11312676,37.94226944,-121.5337,2023-08-18 21:00:19+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230818T210019_2323014_002/EMIT_L2A_RFL_001_20230818T210019_2323014_002.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230818T210019_2323014_002/EMIT_L2A_RFLUNCERT_001_20230818T210019_2323014_002.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230818T210019_2323014_002/EMIT_L2A_MASK_001_20230818T210019_2323014_002.nc']",1.11,ug/l,2023-08-18T13:00:00.000-08:00
11312676,37.94226944,-121.5337,2023-08-22 19:25:31+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192531_2323413_003/EMIT_L2A_RFL_001_20230822T192531_2323413_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192531_2323413_003/EMIT_L2A_RFLUNCERT_001_20230822T192531_2323413_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192531_2323413_003/EMIT_L2A_MASK_001_20230822T192531_2323413_003.nc']",0.93,ug/l,2023-08-22T11:30:00.000-08:00
11312676,37.94226944,-121.5337,2023-08-26 17:49:37+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230826T174937_2323812_001/EMIT_L2A_RFL_001_20230826T174937_2323812_001.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230826T174937_2323812_001/EMIT_L2A_RFLUNCERT_001_20230826T174937_2323812_001.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230826T174937_2323812_001/EMIT_L2A_MASK_001_20230826T174937_2323812_001.nc']",0.94,ug/l,2023-08-26T09:45:00.000-08:00
11313405,37.96992306,-121.572174,2023-05-27 22:53:15+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230527T225315_2314715_004/EMIT_L2A_RFL_001_20230527T225315_2314715_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230527T225315_2314715_004/EMIT_L2A_RFLUNCERT_001_20230527T225315_2314715_004.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230527T225315_2314715_004/EMIT_L2A_MASK_001_20230527T225315_2314715_004.nc']",1.58,ug/l,2023-05-27T15:00:00.000-08:00
11313405,37.96992306,-121.572174,2023-08-07 18:27:32+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182732_2321912_005/EMIT_L2A_RFL_001_20230807T182732_2321912_005.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182732_2321912_005/EMIT_L2A_RFLUNCERT_001_20230807T182732_2321912_005.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182732_2321912_005/EMIT_L2A_MASK_001_20230807T182732_2321912_005.nc']",1.01,ug/l,2023-08-07T10:30:00.000-08:00
11313405,37.96992306,-121.572174,2023-08-07 18:27:44+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182744_2321912_006/EMIT_L2A_RFL_001_20230807T182744_2321912_006.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182744_2321912_006/EMIT_L2A_RFLUNCERT_001_20230807T182744_2321912_006.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230807T182744_2321912_006/EMIT_L2A_MASK_001_20230807T182744_2321912_006.nc']",1.01,ug/l,2023-08-07T10:30:00.000-08:00
11313405,37.96992306,-121.572174,2023-08-14 22:34:53+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230814T223453_2322615_003/EMIT_L2A_RFL_001_20230814T223453_2322615_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230814T223453_2322615_003/EMIT_L2A_RFLUNCERT_001_20230814T223453_2322615_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230814T223453_2322615_003/EMIT_L2A_MASK_001_20230814T223453_2322615_003.nc']",1.33,ug/l,2023-08-14T14:30:00.000-08:00
11313405,37.96992306,-121.572174,2023-08-18 21:00:19+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230818T210019_2323014_002/EMIT_L2A_RFL_001_20230818T210019_2323014_002.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230818T210019_2323014_002/EMIT_L2A_RFLUNCERT_001_20230818T210019_2323014_002.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230818T210019_2323014_002/EMIT_L2A_MASK_001_20230818T210019_2323014_002.nc']",1.19,ug/l,2023-08-18T13:00:00.000-08:00
11313405,37.96992306,-121.572174,2023-08-22 19:25:19+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192519_2323413_002/EMIT_L2A_RFL_001_20230822T192519_2323413_002.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192519_2323413_002/EMIT_L2A_RFLUNCERT_001_20230822T192519_2323413_002.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192519_2323413_002/EMIT_L2A_MASK_001_20230822T192519_2323413_002.nc']",1.35,ug/l,2023-08-22T11:30:00.000-08:00
11313405,37.96992306,-121.572174,2023-08-22 19:25:31+00:00,"['https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192531_2323413_003/EMIT_L2A_RFL_001_20230822T192531_2323413_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192531_2323413_003/EMIT_L2A_RFLUNCERT_001_20230822T192531_2323413_003.nc', 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2ARFL.001/EMIT_L2A_RFL_001_20230822T192531_2323413_003/EMIT_L2A_MASK_001_20230822T192531_2323413_003.nc']",1.35,ug/l,2023-08-22T11:30:00.000-08:00
